TF,candidate_group,in_gremln_top25,in_genie3_top25,exact_query,papers_retrieved,papers_relevant,primary_relevant_papers,direct_causal_papers,judge_tier,rubric_valid,rubric_reasons,final_usable_tier,key_paper_ids,tier_rationale,confidence,judge_input_sha256,judge_output_sha256,model_id,prompt_sha256
STAT1,shared,True,True,STAT1 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study links STAT1 to TCR signalling inhibition or a closely related inhibitory T cell phenotype. Papers concern viral IFN evasion, tumor-cell JAK/STAT, cytokine/IFN signalling, reproductive and innate-immune biology, STAT3 (not STAT1), MSC-intrinsic STAT1, or a STAT1 expression tool. The only T cell/TCR paper (PMC10849914) addresses STAT3 and differentiation, not STAT1 inhibition. No direct, indirect, or associative T-cell-intrinsic STAT1 evidence supports even a weak tier for TCR inhibition.",moderate,941db11fcb3f77ec14927d3d6c0d80b68752f39d268c49be68fe96881ae23083,70cec0317e389e894a7a822aabaabd21746d910680b4774ca1bd6e44817feee0,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
STAT4,gremln_only,True,False,STAT4 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study materially links STAT4 to TCR signalling inhibition or a closely related inhibitory T cell phenotype. STAT4-focused papers are non-immune (follicular, cardiac), chemistry, associative genetics, or a review, none testing TCR/inhibitory T cell function. The papers addressing TCR-mediated inhibition (PMC2195871, PMC2195684) or T cell phenotypes (PMC10849914, PMC2196089, PMC7178138) implicate STAT3/STAT5/STAT6 or SOCS3 rather than STAT4 as the causal regulator. Therefore no candidate-specific evidence supports weak-or-higher tiers.",moderate,7f173161ffdda2a05c511d57daccb619e89081d58a4c184a7f43b65cd6f1ff66,27091f619cfb9ba5edd7e9efbd1b545d4f1ac946ea2bb309c66fee1018c24665,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
STAT5B,genie3_only,False,True,STAT5B TCR inhibition,10,1,1,0,weak,True,,weak,PMC11722272,"No retrieved primary study provides direct causal, indirect mechanistic, or associative evidence linking STAT5B to proximal TCR inhibition, checkpoint response, anergy, hyporesponsiveness, or exhaustion with impaired TCR function. Retrieved evidence is confined to general T cell proliferation/activation (PMC11349758), TCR-driven leukemogenesis with enhanced (not inhibited) TCR signalling (PMC2196089, PMC11014662, PMC5749501), and non-T-cell or structural systems. The only inhibitory-lineage link (PMC11722272, CD4+ Treg accumulation) is lineage/differentiation, which is explicitly insufficient for moderate. This meets weak criteria (general activation/proliferation/differentiation and non-T-cell systems).",moderate,e722f3a9cb8cd4a678bf5374bb2a0739c48e25418e424e477c3606ab508c1f05,f369bd8cdd25c6f9640ecc7ddd8dfe909c798ec9442992c9abfcf0a4fe752263,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
STAU2,gremln_only,True,False,STAU2 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study materially links STAU2 to TCR inhibition or a closely related inhibitory T cell phenotype. STAU2/STAU1 papers concern viral replication, cancer, cell cycle, or equine genetics in non-immune systems. The only direct TCR-inhibition study (PMC11237943) is about PTPN22, not STAU2, and the TCR immunotherapy review (PMC12346228) does not involve STAU2.",high,d1bc00314502fe1a242dd4001e0ab79379833bfb7e648a71a9a73f9c64f4e41f,fe534d9b603312408222610020030071ecb2a4a6bc96548cabfecf58661254c0,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
TFDP1,gremln_only,True,False,TFDP1 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study links TFDP1 to TCR inhibition or a related inhibitory T cell phenotype. TFDP1-specific papers (PMC11347378, PMC12740773, PMC11637825) address cell-cycle/proliferation in non-T-cell contexts. Half the results concern TFDP3, a different gene. The only TCR-inhibition study (PMC11237943) is about PTPN22, and the TCR repertoire review (PMC12346228) never mentions TFDP1.",high,4da9cf6d9954b0f746b9d550e09a59dab93a577cd6a6e582adb53275881b7f1e,7d4bb77b3daaa6d83151d631d61754d0abd5fd80e9427e649d0c6f7024114e9d,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
TGIF1,genie3_only,False,True,TGIF1 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved primary study materially links TGIF1 to TCR inhibition or a closely related inhibitory T cell phenotype. TGIF1 papers concern metabolism, cancer proliferation, osteoblasts, IgA class switching, senescence, and sheep reproduction. The only TCR-inhibition study (PMC11237943) concerns PTPN22, not TGIF1, and the TCR review (PMC12346228) does not involve TGIF1. No papers therefore support any evidence tier.",high,710a9d449b52671466cea329d18359dbabd5ce46c6ee57c433b308dfd144720d,2994761a4717757d4a88befb084936096c3dacb4aec35a256443e5fb22755b20,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
TRAF4,genie3_only,False,True,TRAF4 TCR inhibition,10,0,0,0,none,True,,none,,"TRAF4-specific papers are all in non-immune cancer or placental contexts; the T cell/TCR papers concern different regulators (TRAF1, TRAF2, TRAF3, TRIM). No retrieved primary study materially links TRAF4 to TCR signalling inhibition or a closely related inhibitory T cell phenotype.",high,b05b5db43c3b9c599293e4f287ef32fbd65367aa5a48b59d49eef99ca3971e61,1279648fd81b53882800b426175f3b2c9e5262da4e5e91ad79c1fb38e1cb1130,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
ZBTB32,shared,True,True,ZBTB32 TCR inhibition,10,1,1,0,weak,True,,weak,PMC5578684,"The single ZBTB32-specific primary study (PMC5578684) is a mouse loss-of-function experiment affecting CD8+ effector-versus-memory differentiation and effector magnitude, i.e. general activation/differentiation, not proximal TCR signalling inhibition, checkpoint response, anergy or TCR-linked hyporesponsiveness with a mechanistic TCR-inhibition readout. The two ZBTB reviews cannot support higher tiers. All other retrieved primary papers concern unrelated regulators (PTPN22, PCSK9, Lck/Fyn/ZAP70) or generic TCR/exhaustion biology without ZBTB32. No primary study directly links ZBTB32 to an inhibitory TCR phenotype, so evidence remains weak.",moderate,fdf6d3eba65ba9ea077ef016c06b403507a1b6362e3aca2e3e02c903e6bf2018,890b2deffc101e49073124f789588237247f0dcf028b158b7ead83cec4c7952b,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
ZEB2,genie3_only,False,True,ZEB2 TCR inhibition,10,1,1,0,moderate,True,,moderate,PMC12456470,"One primary study (PMC12456470) provides causal/perturbational evidence that ZEB2 upregulates the PD-L1 inhibitory checkpoint and functionally suppresses T cell activation, cytokine secretion, and TIL activity. However, ZEB2 acts tumor-cell-intrinsically via PD-L1 rather than within T cells, so it is not a direct proximal TCR-inhibition experiment and mechanistic directness on TCR signalling is incomplete. Remaining ZEB2 T-cell papers address only differentiation/effector fate (generic, insufficient), and other papers are non-T-cell systems, reviews, or unrelated TCR-engineering. This meets moderate (indirect mechanistic/checkpoint link) but not strong; applying the lower-tier rule.",moderate,3d62fb9e7fd7831df1d06a17ea4421c9a6c686793de121e8c04d22060ea63183,479fe887606b28f841f8f421391d616226b4a27d4f6a9a30e0ed829a8b51bb73,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
ZNF121,gremln_only,True,False,ZNF121 TCR inhibition,10,1,1,1,none,True,,none,,"No retrieved paper mentions ZNF121 or links it to TCR signalling inhibition or any inhibitory T cell phenotype. The only genuine TCR-inhibition study (PMC11237943) concerns PTPN22, not the candidate regulator; the remaining papers address TCR engineering, adoptive cell therapy, computational TCR design, or other regulators. Since no primary study materially links ZNF121 to TCR inhibition or a closely related inhibitory phenotype, the correct tier is none.",high,796f69b2271a76625afd6772e152e781437e5f5b52afef47b8c9cd36a73924c3,469c072dbaf3871ca8b960cb723632d5bf3a1e99f4bfd476aa4a266ac82954ef,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
ZNF706,gremln_only,True,False,ZNF706 TCR inhibition,10,0,0,0,none,True,,none,,"No retrieved paper links ZNF706 to TCR inhibition or a related inhibitory T cell phenotype. The single ZNF706 study (PMC11445280) concerns ferroptosis in liver cancer with no immune involvement, and the remaining TCR-related papers (including bona fide TCR-inhibition work such as PMC11237943 on PTPN22) do not involve ZNF706. No primary study materially connects the candidate regulator to an inhibitory T cell phenotype.",high,0e55cce3f75a5d56821aa446785b72ff5f2e863ddca31199adee9da46104c008,86a7f2b447a2612edd7e31135bf3c76ab551785e3c3a1998f51cf688692c207d,claude-4.5-sonnet,baa3767bd5a4684a639b08937ce91f30256753bca5e451d7ad5ca8216d3aa251
